sample_id	strain	treatment	replicate	geo_accession	srx_accession	srr_accession
NK01067_C1	NK01067	control	1	GSM9225960	SRX30410105	SRR35308244
NK01067_C2	NK01067	control	2	GSM9225961	SRX30410106	SRR35308243
NK01067_C3	NK01067	control	3	GSM9225962	SRX30410107	SRR35308242
NK01067_M1	NK01067	meropenem	1	GSM9225963	SRX30410108	SRR35308241
NK01067_M2	NK01067	meropenem	2	GSM9225964	SRX30410109	SRR35308240
NK01067_M3	NK01067	meropenem	3	GSM9225965	SRX30410110	SRR35308239
dwbbM_C1	dwbbM	control	1	GSM9225966	SRX30410111	SRR35308238
dwbbM_C2	dwbbM	control	2	GSM9225967	SRX30410112	SRR35308237
dwbbM_C3	dwbbM	control	3	GSM9225968	SRX30410113	SRR35308236
dwbbM_M1	dwbbM	meropenem	1	GSM9225969	SRX30410114	SRR35308235
dwbbM_M2	dwbbM	meropenem	2	GSM9225970	SRX30410115	SRR35308234
dwbbM_M3	dwbbM	meropenem	3	GSM9225971	SRX30410116	SRR35308233
