run_accession	study_accession	study_title	experiment_accession	experiment_title	experiment_desc	organism_taxid	organism_name	library_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	biosample	bioproject	instrument	instrument_model	instrument_model_desc	total_spots	total_size	run_total_spots	run_total_bases	run_alias	public_filename	public_size	public_date	public_md5	public_version	public_semantic_name	public_supertype	public_sratoolkit	aws_url	aws_free_egress	aws_access_type	public_url	ncbi_url	ncbi_free_egress	ncbi_access_type	gcp_url	gcp_free_egress	gcp_access_type	experiment_alias	source_name	strain	cell type	treatment	geo_loc_name	collection_date	ena_fastq_http	ena_fastq_http_1	ena_fastq_http_2	ena_fastq_ftp	ena_fastq_ftp_1	ena_fastq_ftp_2
SRR35308233	SRP618458	O-antigen Deficiency Sparks Metabolic Shifts That Blunt ROS-Mediated Killing by Meropenem	SRX30410116	GSM9225971: ΔwbbM in meropenem sample3; Klebsiella pneumoniae; RNA-Seq	GSM9225971: ΔwbbM in meropenem sample3; Klebsiella pneumoniae; RNA-Seq	573	Klebsiella pneumoniae	GSM9225971	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS26446476	-	SAMN51229226	PRJNA1321917	Illumina HiSeq 2500	Illumina HiSeq 2500	ILLUMINA	7517814	729292794	7517814	2255344200	GSM9225971_r1	SRR35308233.lite	603532416	2025-09-09 23:13:10	2297b08e8dec7325e8976f74a2fa1f65	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-2/SRR35308233/SRR35308233.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308233/SRR35308233.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308233/SRR35308233.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR35308233/SRR35308233.lite.1	gs.us-east1	gcp identity	-	bacterial cell	{delta}wbbM	bacterial cell	meropenem	missing	missing	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/033/SRR35308233/SRR35308233_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/033/SRR35308233/SRR35308233_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/033/SRR35308233/SRR35308233_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/033/SRR35308233/SRR35308233_2.fastq.gz
SRR35308234	SRP618458	O-antigen Deficiency Sparks Metabolic Shifts That Blunt ROS-Mediated Killing by Meropenem	SRX30410115	GSM9225970: ΔwbbM in meropenem sample2; Klebsiella pneumoniae; RNA-Seq	GSM9225970: ΔwbbM in meropenem sample2; Klebsiella pneumoniae; RNA-Seq	573	Klebsiella pneumoniae	GSM9225970	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS26446475	-	SAMN51229227	PRJNA1321917	Illumina HiSeq 2500	Illumina HiSeq 2500	ILLUMINA	7788497	763366649	7788497	2336549100	GSM9225970_r1	SRR35308234.lite	631906996	2025-09-09 23:13:10	eb837f24b5ff013cc19810f40b362803	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-2/SRR35308234/SRR35308234.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308234/SRR35308234.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308234/SRR35308234.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR35308234/SRR35308234.lite.1	gs.us-east1	gcp identity	-	bacterial cell	{delta}wbbM	bacterial cell	meropenem	missing	missing	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/034/SRR35308234/SRR35308234_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/034/SRR35308234/SRR35308234_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/034/SRR35308234/SRR35308234_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/034/SRR35308234/SRR35308234_2.fastq.gz
SRR35308235	SRP618458	O-antigen Deficiency Sparks Metabolic Shifts That Blunt ROS-Mediated Killing by Meropenem	SRX30410114	GSM9225969: ΔwbbM in meropenem sample1; Klebsiella pneumoniae; RNA-Seq	GSM9225969: ΔwbbM in meropenem sample1; Klebsiella pneumoniae; RNA-Seq	573	Klebsiella pneumoniae	GSM9225969	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS26446474	-	SAMN51229228	PRJNA1321917	Illumina HiSeq 2500	Illumina HiSeq 2500	ILLUMINA	7110744	693015936	7110744	2133223200	GSM9225969_r1	SRR35308235.lite	574459084	2025-09-09 23:13:09	bd6ea771e3f8aecec2e75462b3eb560d	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-2/SRR35308235/SRR35308235.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308235/SRR35308235.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308235/SRR35308235.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR35308235/SRR35308235.lite.1	gs.us-east1	gcp identity	-	bacterial cell	{delta}wbbM	bacterial cell	meropenem	missing	missing	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/035/SRR35308235/SRR35308235_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/035/SRR35308235/SRR35308235_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/035/SRR35308235/SRR35308235_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/035/SRR35308235/SRR35308235_2.fastq.gz
SRR35308236	SRP618458	O-antigen Deficiency Sparks Metabolic Shifts That Blunt ROS-Mediated Killing by Meropenem	SRX30410113	GSM9225968: ΔwbbM sample3; Klebsiella pneumoniae; RNA-Seq	GSM9225968: ΔwbbM sample3; Klebsiella pneumoniae; RNA-Seq	573	Klebsiella pneumoniae	GSM9225968	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS26446473	-	SAMN51229229	PRJNA1321917	Illumina HiSeq 2500	Illumina HiSeq 2500	ILLUMINA	7475799	733183466	7475799	2242739700	GSM9225968_r1	SRR35308236.lite	609529403	2025-09-09 23:13:12	c99de6ca0745c55a29173a0e0e54e36b	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-2/SRR35308236/SRR35308236.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308236/SRR35308236.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308236/SRR35308236.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR35308236/SRR35308236.lite.1	gs.us-east1	gcp identity	-	bacterial cell	{delta}wbbM	bacterial cell	control	missing	missing	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/036/SRR35308236/SRR35308236_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/036/SRR35308236/SRR35308236_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/036/SRR35308236/SRR35308236_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/036/SRR35308236/SRR35308236_2.fastq.gz
SRR35308237	SRP618458	O-antigen Deficiency Sparks Metabolic Shifts That Blunt ROS-Mediated Killing by Meropenem	SRX30410112	GSM9225967: ΔwbbM sample2; Klebsiella pneumoniae; RNA-Seq	GSM9225967: ΔwbbM sample2; Klebsiella pneumoniae; RNA-Seq	573	Klebsiella pneumoniae	GSM9225967	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS26446472	-	SAMN51229230	PRJNA1321917	Illumina HiSeq 2500	Illumina HiSeq 2500	ILLUMINA	7838028	753951121	7838028	2351408400	GSM9225967_r1	SRR35308237.lite	628694971	2025-09-09 23:13:10	747c8036ef590f7f532455d7ce4c1d58	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-2/SRR35308237/SRR35308237.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308237/SRR35308237.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308237/SRR35308237.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR35308237/SRR35308237.lite.1	gs.us-east1	gcp identity	-	bacterial cell	{delta}wbbM	bacterial cell	control	missing	missing	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/037/SRR35308237/SRR35308237_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/037/SRR35308237/SRR35308237_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/037/SRR35308237/SRR35308237_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/037/SRR35308237/SRR35308237_2.fastq.gz
SRR35308238	SRP618458	O-antigen Deficiency Sparks Metabolic Shifts That Blunt ROS-Mediated Killing by Meropenem	SRX30410111	GSM9225966: ΔwbbM sample1; Klebsiella pneumoniae; RNA-Seq	GSM9225966: ΔwbbM sample1; Klebsiella pneumoniae; RNA-Seq	573	Klebsiella pneumoniae	GSM9225966	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS26446471	-	SAMN51229231	PRJNA1321917	Illumina HiSeq 2500	Illumina HiSeq 2500	ILLUMINA	7597260	725460167	7597260	2279178000	GSM9225966_r1	SRR35308238.lite	608655586	2025-09-09 23:13:10	dbce3911ed87ca236144428cc0d6f913	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-2/SRR35308238/SRR35308238.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308238/SRR35308238.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308238/SRR35308238.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR35308238/SRR35308238.lite.1	gs.us-east1	gcp identity	-	bacterial cell	{delta}wbbM	bacterial cell	control	missing	missing	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/038/SRR35308238/SRR35308238_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/038/SRR35308238/SRR35308238_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/038/SRR35308238/SRR35308238_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/038/SRR35308238/SRR35308238_2.fastq.gz
SRR35308239	SRP618458	O-antigen Deficiency Sparks Metabolic Shifts That Blunt ROS-Mediated Killing by Meropenem	SRX30410110	GSM9225965: NK01067 in meropenem sample3; Klebsiella pneumoniae; RNA-Seq	GSM9225965: NK01067 in meropenem sample3; Klebsiella pneumoniae; RNA-Seq	573	Klebsiella pneumoniae	GSM9225965	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS26446470	-	SAMN51229232	PRJNA1321917	Illumina HiSeq 2500	Illumina HiSeq 2500	ILLUMINA	10935536	1007696233	10935536	3280660800	GSM9225965_r1	SRR35308239.lite	828637134	2025-09-09 23:13:13	20df710911934ceb03edf99431ed7a6d	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-2/SRR35308239/SRR35308239.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308239/SRR35308239.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308239/SRR35308239.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR35308239/SRR35308239.lite.1	gs.us-east1	gcp identity	-	bacterial cell	NK01067	bacterial cell	meropenem	missing	missing	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/039/SRR35308239/SRR35308239_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/039/SRR35308239/SRR35308239_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/039/SRR35308239/SRR35308239_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/039/SRR35308239/SRR35308239_2.fastq.gz
SRR35308240	SRP618458	O-antigen Deficiency Sparks Metabolic Shifts That Blunt ROS-Mediated Killing by Meropenem	SRX30410109	GSM9225964: NK01067 in meropenem sample2; Klebsiella pneumoniae; RNA-Seq	GSM9225964: NK01067 in meropenem sample2; Klebsiella pneumoniae; RNA-Seq	573	Klebsiella pneumoniae	GSM9225964	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS26446469	-	SAMN51229233	PRJNA1321917	Illumina HiSeq 2500	Illumina HiSeq 2500	ILLUMINA	7857432	770002073	7857432	2357229600	GSM9225964_r1	SRR35308240.lite	638757984	2025-09-09 23:13:10	1711e75f0eb2526bd190adfb07e3ecce	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-2/SRR35308240/SRR35308240.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308240/SRR35308240.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308240/SRR35308240.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR35308240/SRR35308240.lite.1	gs.us-east1	gcp identity	-	bacterial cell	NK01067	bacterial cell	meropenem	missing	missing	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/040/SRR35308240/SRR35308240_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/040/SRR35308240/SRR35308240_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/040/SRR35308240/SRR35308240_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/040/SRR35308240/SRR35308240_2.fastq.gz
SRR35308241	SRP618458	O-antigen Deficiency Sparks Metabolic Shifts That Blunt ROS-Mediated Killing by Meropenem	SRX30410108	GSM9225963: NK01067 in meropenem sample1; Klebsiella pneumoniae; RNA-Seq	GSM9225963: NK01067 in meropenem sample1; Klebsiella pneumoniae; RNA-Seq	573	Klebsiella pneumoniae	GSM9225963	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS26446468	-	SAMN51229234	PRJNA1321917	Illumina HiSeq 2500	Illumina HiSeq 2500	ILLUMINA	7369516	711196525	7369516	2210854800	GSM9225963_r1	SRR35308241.lite	590249570	2025-09-09 23:13:10	e3c2e18983496315067528d596c1d0ad	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-2/SRR35308241/SRR35308241.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308241/SRR35308241.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308241/SRR35308241.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR35308241/SRR35308241.lite.1	gs.us-east1	gcp identity	-	bacterial cell	NK01067	bacterial cell	meropenem	missing	missing	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/041/SRR35308241/SRR35308241_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/041/SRR35308241/SRR35308241_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/041/SRR35308241/SRR35308241_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/041/SRR35308241/SRR35308241_2.fastq.gz
SRR35308242	SRP618458	O-antigen Deficiency Sparks Metabolic Shifts That Blunt ROS-Mediated Killing by Meropenem	SRX30410107	GSM9225962: NK01067 sample3; Klebsiella pneumoniae; RNA-Seq	GSM9225962: NK01067 sample3; Klebsiella pneumoniae; RNA-Seq	573	Klebsiella pneumoniae	GSM9225962	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS26446467	-	SAMN51229235	PRJNA1321917	Illumina HiSeq 2500	Illumina HiSeq 2500	ILLUMINA	7239586	695865482	7239586	2171875800	GSM9225962_r1	SRR35308242.lite	582653721	2025-09-09 23:13:10	2a734bb0668b1085e7e666f156dcc756	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-2/SRR35308242/SRR35308242.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308242/SRR35308242.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35308/SRR35308242/SRR35308242.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR35308242/SRR35308242.lite.1	gs.us-east1	gcp identity	-	bacterial cell	NK01067	bacterial cell	control	missing	missing	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/042/SRR35308242/SRR35308242_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/042/SRR35308242/SRR35308242_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/042/SRR35308242/SRR35308242_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR353/042/SRR35308242/SRR35308242_2.fastq.gz
