Geneid	SRR35308233	SRR35308234	SRR35308235	SRR35308236	SRR35308237	SRR35308238	SRR35308239	SRR35308240	SRR35308241	SRR35308242	SRR35308243	SRR35308244
M8Y62_00005	2932	3271	3119	1007	1129	1190	6126	4715	3969	714	707	350
M8Y62_00010	1526	1652	1427	622	709	850	2250	1795	1581	643	651	352
M8Y62_00015	514	585	553	109	105	144	745	674	520	58	66	49
M8Y62_00020	4890	5615	5441	4558	4296	4447	7209	5425	4782	2217	2244	1393
M8Y62_00025	769	813	771	997	994	1029	1158	771	716	705	744	403
M8Y62_00030	42	50	46	20	26	18	112	112	98	27	23	7
M8Y62_00035	59	51	52	26	15	38	140	100	103	33	38	17
M8Y62_00040	32	34	42	33	38	25	77	61	39	34	30	48
M8Y62_00045	44	42	39	22	20	23	103	50	68	9	23	28
M8Y62_00050	24	37	43	15	9	23	57	49	38	10	3	11
M8Y62_00055	94	88	84	85	69	65	145	131	100	42	47	56
M8Y62_00060	75	71	54	19	29	22	136	77	68	22	24	19
M8Y62_00065	248	268	264	346	350	358	810	582	496	279	343	246
M8Y62_00070	409	385	411	557	508	544	674	479	417	547	583	514
M8Y62_00075	504	411	259	104	97	122	1380	1029	1078	96	85	45
M8Y62_00080	145	107	80	50	46	58	811	545	592	57	51	19
M8Y62_00085	176	198	146	174	196	221	488	385	346	241	253	301
M8Y62_00090	2496	2414	2146	2005	2254	1985	5632	4114	4365	2391	2560	2289
M8Y62_00095	130	98	128	46	57	51	336	256	187	73	84	58
M8Y62_00100	164	140	165	90	69	76	256	186	124	59	78	94
M8Y62_00105	145	168	174	169	152	160	554	348	253	142	153	122
M8Y62_00110	30	31	43	13	15	24	240	132	90	13	13	14
M8Y62_00115	26	43	35	39	48	44	402	242	149	54	54	68
M8Y62_00120	252	272	226	195	225	256	891	536	496	186	205	294
M8Y62_00125	162	210	247	59	89	86	4921	2778	1442	44	70	38
M8Y62_00130	65	96	97	21	25	23	2859	1421	695	24	28	17
M8Y62_00135	3	3	1	1	5	1	7	5	1	1	2	0
M8Y62_00140	113	114	111	38	47	37	550	387	259	41	37	21
M8Y62_00145	352	413	394	117	151	128	1778	1335	1075	177	167	59
M8Y62_00150	88	105	92	44	45	55	203	165	133	63	55	32
M8Y62_00155	180	210	164	62	91	73	185	184	147	36	47	30
M8Y62_00160	670	676	542	308	237	329	429	314	304	251	276	242
M8Y62_00165	47	74	48	11	10	18	47	43	37	14	20	7
M8Y62_00170	281	268	281	187	183	225	485	386	302	122	163	131
M8Y62_00175	604	675	670	461	423	492	1905	1429	1210	349	528	563
M8Y62_00180	185	167	200	151	141	110	347	260	268	199	241	365
M8Y62_00185	77	67	57	8	10	5	151	72	79	7	11	3
M8Y62_00190	50	56	46	20	32	31	115	107	73	13	8	5
M8Y62_00195	29	39	27	16	12	7	77	61	46	7	9	5
M8Y62_00200	37	37	33	16	24	17	105	67	58	7	17	9
M8Y62_00205	166	211	196	212	276	208	445	313	294	234	285	226
M8Y62_00210	54	63	44	60	58	36	125	78	62	55	74	39
M8Y62_00215	47	44	45	92	95	76	144	77	75	140	133	65
M8Y62_00220	112	115	171	60	58	86	160	121	97	52	38	8
M8Y62_00225	44	29	23	24	18	24	96	82	47	15	20	4
M8Y62_00230	17	31	46	15	19	24	80	59	40	12	19	10
M8Y62_00235	45	57	74	42	32	39	163	105	99	32	35	18
M8Y62_00240	11	7	12	3	4	3	35	27	10	3	6	1
M8Y62_00245	16	15	13	8	13	14	35	35	24	5	7	5
M8Y62_00250	12	7	10	3	10	7	21	15	15	4	6	2
M8Y62_00255	9	6	7	6	5	5	21	9	9	3	8	2
M8Y62_00260	76	68	52	35	51	55	143	76	79	29	44	28
M8Y62_00265	0	0	0	1	3	1	1	3	3	1	3	1
M8Y62_00270	16	14	28	16	16	19	79	44	38	15	19	4
M8Y62_00275	5	3	1	3	4	4	15	10	10	3	4	2
M8Y62_00280	97	96	85	67	58	46	502	339	379	108	102	66
M8Y62_00285	36	19	29	24	28	17	93	62	36	17	19	11
M8Y62_00290	340	309	294	358	350	340	674	427	440	428	525	384
M8Y62_00295	76	91	94	107	110	104	255	195	155	81	93	66
M8Y62_00300	23	40	24	18	28	14	70	53	44	17	21	8
M8Y62_00305	14	27	19	12	15	7	25	30	18	6	12	8
M8Y62_00310	20	11	21	9	12	12	57	40	39	13	16	5
M8Y62_00315	67	77	89	35	38	40	218	133	109	39	31	29
M8Y62_00320	244	244	272	631	698	632	534	403	451	782	847	679
M8Y62_00325	114	121	143	127	134	140	363	257	255	101	88	75
M8Y62_00330	101	116	85	47	56	58	197	169	157	56	55	80
M8Y62_00335	123	127	108	69	84	83	284	197	196	71	91	88
M8Y62_00340	37	37	35	17	17	18	69	68	47	17	16	6
M8Y62_00345	60	44	62	24	20	17	113	63	62	18	11	12
M8Y62_00350	34	29	32	9	10	7	61	51	34	6	14	5
M8Y62_00355	16	15	12	12	9	16	46	29	20	6	6	9
M8Y62_00360	0	2	0	0	3	0	2	0	1	0	3	0
M8Y62_00365	0	0	0	0	0	0	0	1	0	1	0	0
M8Y62_00370	41	46	38	59	54	45	226	140	162	60	69	62
M8Y62_00375	40	42	40	33	43	57	1205	837	1004	65	98	42
M8Y62_00380	36	46	57	18	36	41	1785	1660	1683	62	84	27
M8Y62_00385	106	112	103	232	249	270	567	482	483	302	285	233
M8Y62_00390	10	8	10	10	8	6	32	50	31	6	9	2
M8Y62_00395	7	16	21	16	17	15	75	66	43	14	16	5
M8Y62_00400	11	20	26	24	31	34	57	64	54	14	19	8
M8Y62_00405	70	57	51	43	38	48	110	97	69	27	25	25
M8Y62_00410	102	103	134	147	141	140	417	287	260	144	130	82
M8Y62_00415	38	48	39	51	41	41	152	103	106	37	43	24
M8Y62_00420	40	50	40	95	115	122	134	111	108	118	136	132
M8Y62_00425	29	33	26	11	19	25	124	108	69	8	18	12
M8Y62_00430	61	68	62	63	70	93	209	164	146	65	58	58
M8Y62_00435	49	64	79	153	138	179	134	124	97	135	189	74
M8Y62_00440	15	24	20	9	9	7	73	32	39	18	17	14
M8Y62_00445	5	4	4	2	5	3	11	11	7	1	2	7
M8Y62_00450	24	33	26	30	20	24	69	46	46	17	29	25
M8Y62_00455	22	32	25	16	27	24	55	35	47	34	24	12
M8Y62_00465	49	48	49	102	115	103	118	101	74	96	136	120
M8Y62_00470	152	182	177	206	280	252	325	181	203	254	283	268
M8Y62_00475	684	774	761	331	339	387	864	596	665	216	295	379
M8Y62_00480	16	13	16	8	6	6	56	29	28	2	7	10
M8Y62_00485	93	78	81	31	39	30	223	134	109	25	25	25
M8Y62_00490	468	458	462	333	428	481	723	641	539	399	486	463
M8Y62_00495	65	76	82	55	40	49	189	145	110	60	75	55
M8Y62_00500	46	33	45	25	26	23	108	45	41	58	62	44
M8Y62_00505	170	186	214	271	281	296	676	485	517	176	228	274
M8Y62_00510	84	104	154	59	70	82	387	265	370	60	73	39
M8Y62_00515	609	587	584	1574	2099	2304	1608	1228	1240	1622	1920	4549
M8Y62_00520	1277	1186	1043	3089	3916	5822	11831	8047	5616	4832	5996	8696
M8Y62_00525	623	427	441	2542	3718	4837	3307	2308	1709	4019	4069	5020
M8Y62_00530	1050	1162	1156	1602	1945	1740	2192	1460	1680	2415	2571	2918
M8Y62_00535	161	202	231	98	129	128	754	548	425	112	123	125
M8Y62_00540	87	82	78	53	72	79	215	138	151	74	56	50
M8Y62_00545	62	67	58	32	44	49	181	116	93	50	39	43
M8Y62_00550	3163	4190	3883	2095	2073	2258	10028	6955	5596	1487	1637	1231
M8Y62_00555	172	213	254	225	215	190	713	540	509	211	248	135
M8Y62_00560	143	129	113	120	156	117	267	234	220	171	154	142
M8Y62_00565	350	360	341	585	686	703	951	668	693	892	890	1766
M8Y62_00570	282	354	241	188	195	236	361	276	281	123	171	204
M8Y62_00575	1016	1127	916	483	487	538	1445	1184	1143	232	280	265
M8Y62_00580	307	373	351	135	146	184	648	459	453	80	81	47
M8Y62_00585	2118	2415	2274	1815	1804	1982	4820	3975	3512	1356	1364	659
M8Y62_00590	1644	1750	1550	1148	1175	1119	3011	1938	1749	1162	1308	823
M8Y62_00595	3186	3350	3284	1856	1913	1782	5370	3805	3089	909	924	566
M8Y62_00600	40	44	48	32	35	25	112	83	59	27	28	18
M8Y62_00605	75	78	75	25	20	17	158	93	96	20	15	8
M8Y62_00610	125	120	98	170	176	142	436	362	415	181	222	168
M8Y62_00615	55	49	56	58	64	61	104	89	72	72	56	46
M8Y62_00620	25	26	20	26	28	29	56	44	37	41	58	20
M8Y62_00625	612	785	817	1148	1313	1220	1315	966	954	1231	1248	797
M8Y62_00630	9	6	6	7	4	4	18	14	12	11	11	8
M8Y62_00635	2	0	0	0	1	0	1	0	0	1	1	1
M8Y62_00640	12	4	1	3	6	4	9	6	7	5	10	2
M8Y62_00645	9	10	15	8	12	10	19	13	11	15	10	6
M8Y62_00650	50	66	57	56	63	62	91	57	51	79	99	58
M8Y62_00655	792	993	1086	462	473	565	1548	1129	1013	313	356	261
M8Y62_00660	146	180	184	272	318	355	480	337	311	327	436	495
M8Y62_00665	78	82	69	63	53	57	433	256	181	110	109	53
M8Y62_00670	68	96	68	42	41	47	194	158	130	67	77	41
M8Y62_00675	154	177	179	107	150	148	512	367	370	144	147	93
M8Y62_00680	291	323	357	406	470	499	1057	687	793	422	439	234
M8Y62_00685	1385	1523	1330	693	845	809	1748	1243	1216	863	878	814
M8Y62_00690	8667	9261	8165	1898	2290	2730	9253	6466	6622	1625	1612	1711
M8Y62_00695	975	926	837	444	611	658	1148	813	783	796	807	848
M8Y62_00700	89	117	109	50	44	54	288	202	163	37	53	42
M8Y62_00705	218	267	202	180	160	209	602	400	409	196	231	96
M8Y62_00710	327	346	368	196	208	244	883	724	543	139	176	74
M8Y62_00715	744	822	809	320	402	396	1826	1422	1201	177	171	93
M8Y62_00720	488	521	471	283	306	322	954	703	645	201	276	191
M8Y62_00725	230	254	218	74	93	107	502	388	345	78	90	86
M8Y62_00730	227	296	229	112	140	171	647	528	409	78	90	82
M8Y62_00735	337	400	419	267	309	294	1065	811	675	156	200	146
M8Y62_00740	282	301	332	320	306	394	715	510	468	229	264	224
M8Y62_00745	214	266	240	173	236	257	469	305	267	305	301	175
M8Y62_00750	558	603	618	236	304	316	897	666	659	225	226	188
M8Y62_00755	382	443	413	170	222	200	830	627	504	153	140	73
M8Y62_00760	520	657	682	371	445	519	1720	1367	1032	301	325	161
M8Y62_00765	970	1260	1278	1194	1317	1243	2838	2146	1806	1022	1217	900
M8Y62_00770	2475	2795	2758	2547	2596	2724	4413	3306	2750	2191	2376	1667
M8Y62_00775	718	897	923	762	901	900	4204	3076	2751	937	1021	1180
M8Y62_00780	1063	1427	1390	1280	1444	1412	6089	4370	4144	1344	1746	2225
M8Y62_00785	225	242	234	152	131	139	666	495	431	96	112	102
M8Y62_00790	241	313	257	141	127	169	726	572	426	84	106	89
M8Y62_00795	633	783	719	597	638	716	1752	1340	1053	551	600	342
M8Y62_00800	1502	2448	1722	337	382	338	8831	5273	3760	438	458	318
M8Y62_00805	665	743	738	243	329	295	1292	940	767	258	260	216
M8Y62_00810	356	397	333	215	217	260	717	509	488	261	278	260
M8Y62_00815	1092	1204	1006	579	612	773	2489	1846	1689	463	638	883
M8Y62_00820	423	482	442	159	218	264	1469	1147	1081	212	263	337
M8Y62_00825	376	395	379	221	225	272	1107	911	721	148	194	169
M8Y62_00830	132	169	127	48	44	90	376	307	187	58	78	70
M8Y62_00835	231	230	187	298	356	595	2522	1490	1813	526	588	2684
M8Y62_00840	75	78	73	46	88	171	686	446	504	128	120	673
M8Y62_00845	439	354	255	171	311	805	1851	1170	1235	431	386	2276
M8Y62_00850	2799	3034	2719	836	972	944	2345	1659	1399	610	618	551
M8Y62_00855	69	84	89	179	174	133	263	215	175	339	370	192
M8Y62_00860	182	221	161	43	55	46	545	448	286	68	55	35
M8Y62_00865	757	794	806	371	355	371	1760	1402	1043	187	199	190
M8Y62_00870	537	592	690	335	302	331	1607	1231	859	280	311	289
M8Y62_00875	19	24	28	28	24	32	52	33	25	42	39	15
M8Y62_00885	148	151	153	228	187	192	261	225	174	147	248	136
M8Y62_00890	1724	1961	1856	328	349	302	2858	2293	1602	103	128	58
M8Y62_00895	1424	1654	1495	376	366	302	2465	1780	1383	227	274	93
M8Y62_00905	276	319	299	82	65	69	472	366	351	52	65	34
M8Y62_00910	360	371	369	96	114	128	761	598	479	89	117	52
M8Y62_00915	465	580	395	102	124	101	567	453	424	80	95	70
M8Y62_00920	1556	1789	1796	791	862	766	2757	1863	2097	513	692	642
