Geneid	gene_name	product	curated_theme	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj
M8Y62_17365	bssR	biofilm formation regulator BssR	Biofilm/adhesion	1.62702620322802	1.67690912350441e-24	-1.01666728730165	2.98338894870593e-23	0.606975893061819	8.13811541284177e-06
M8Y62_19770	M8Y62_19770	beta-galactosidase	Carbohydrate metabolism	1.29212789922598	0.000942593361705	-0.737325755805401	0.0205937486747447	0.553255259303787	0.0045779484846171
M8Y62_04660	M8Y62_04660	sirohydrochlorin cobaltochelatase	Cobalamin/cofactor metabolism	2.03301266392362	7.093078003719659e-18	-1.17934691079973	2.35619847083356e-10	0.848412829417355	5.60522565126834e-09
M8Y62_04655	M8Y62_04655	cobalt-precorrin-6A reductase	Cobalamin/cofactor metabolism	1.63545450357068	1.02914882476173e-14	-0.507689170837193	0.0042826507934365	1.12312247703253	9.24851067599265e-17
M8Y62_08935	M8Y62_08935	lipoate--protein ligase family protein	Cobalamin/cofactor metabolism	-1.80062010102775	2.73504662090015e-05	0.976889862291382	0.0028978940439244	-0.826493210846931	0.0188361105070664
M8Y62_19920	hupB	DNA-binding protein HU-beta	DNA repair/stress	2.13949742898915	2.1715466418255702e-20	-1.60755802405925	6.888349549813521e-15	0.527831336829689	8.48173636759793e-06
M8Y62_21340	M8Y62_21340	YacC family pilotin-like protein	Envelope/LPS/cell wall	1.64995151445396	4.9428369806972e-15	-0.896571185002488	7.54845326446128e-06	0.751981848764822	9.24246438301038e-10
M8Y62_05565	lpxO	lipid A hydroxylase LpxO	Envelope/LPS/cell wall	-1.6712952911304	2.91099760696239e-11	0.634619986837526	0.0034888759166934	-1.04081774531385	1.5942955211071e-11
M8Y62_24300	pspG	envelope stress response protein PspG	Envelope/LPS/cell wall	1.70760325700275	1.51115615830356e-06	-1.1174022022215	1.9039111081409803e-09	0.587217858454145	0.0177859621166453
M8Y62_16560	M8Y62_16560	small membrane protein	Envelope/LPS/cell wall	1.98000595219311	2.74169067153107e-06	-1.18185391710442	0.0006294786880223	0.794812706929997	1.23174525790054e-05
M8Y62_16150	ycfP	alpha/beta hydrolase YcfP	Metabolism	1.48757623559077	8.822112906933489e-18	-0.686650683367603	1.6466093239093e-06	0.798390149753177	3.31373128328264e-10
M8Y62_04640	M8Y62_04640	cobalt-precorrin-4 methyltransferase	Metabolism	1.38673962690923	2.02724129045065e-14	-0.654474521617057	1.1193665650328e-07	0.72835212303765	1.68054084235363e-07
M8Y62_23065	M8Y62_23065	carbonic anhydrase	Metabolism	-2.89145851263104	4.75516270229629e-13	0.699499617195425	0.0170715726832305	-2.19703072183161	2.61202578948457e-12
M8Y62_15970	phoQ	two-component system sensor histidine kinase PhoQ	Metabolism	-1.75445212945547	6.993240509658959e-13	0.940235076599059	1.01892220422931e-05	-0.817578861173261	5.73560228399308e-08
M8Y62_04690	M8Y62_04690	cobyric acid synthase	Metabolism	2.69472461956931	1.90012741572035e-12	-1.8159571973438	8.70168145958644e-11	0.871782824415371	1.22374530280324e-05
M8Y62_18820	betA	choline dehydrogenase	Metabolism	-1.89503501280922	1.59940638183813e-10	0.940709473880282	1.72196788712677e-05	-0.958007839036615	5.30899928220043e-07
M8Y62_19440	purK	5-(carboxyamino)imidazole ribonucleotide synthase	Metabolism	-1.96637793887136	8.6280202802082e-10	1.11845011884291	2.48433689314901e-05	-0.853570963991558	2.07260326995913e-05
M8Y62_04695	cobU	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	Metabolism	2.77825540653362	1.16361459833901e-09	-1.49890406611851	6.7507679986439e-06	1.27130097092096	1.78439038564559e-08
M8Y62_12155	M8Y62_12155	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	Metabolism	-1.5505639727424	6.2848970169040115e-09	0.576284346297099	0.0007103329216003	-0.97704459953838	4.09963785124196e-07
M8Y62_09065	clbK	colibactin hybrid non-ribosomal peptide synthetase/type I polyketide synthase ClbK	Metabolism	1.98597592050653	2.84652397372429e-08	-1.42839349145471	1.72857496948863e-12	0.552127461896946	0.014780460704816
M8Y62_04700	cobT	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	Metabolism	2.58794929293818	2.5161220157006e-07	-1.22827171686371	0.0013456891436259	1.35118611099547	6.99968863135305e-10
M8Y62_16930	M8Y62_16930	MBL fold metallo-hydrolase	Metabolism	1.49419912976772	6.15309343770029e-06	-0.922842605022148	0.0001871061803262	0.565505308131083	0.0013196527020976
M8Y62_01935	fkpA	FKBP-type peptidyl-prolyl cis-trans isomerase	Metabolism	1.65757260619966	3.26339811876676e-05	-1.00968801053139	0.0034806495122436	0.641789073693826	1.94435127184721e-07
M8Y62_03030	uxaC	glucuronate isomerase	Metabolism	-1.41039040281898	0.0001880283531936	0.812560938177357	0.0174981539988003	-0.599534532704219	3.59559363170341e-08
M8Y62_07965	glpA	anaerobic glycerol-3-phosphate dehydrogenase subunit A	Metabolism	-1.93459882640078	0.0003963646699079	1.2485813201591	0.0075120598248769	-0.68661499972863	9.435426745790792e-09
M8Y62_13410	deoC	deoxyribose-phosphate aldolase	Metabolism	1.26790908372912	0.0004141652231623	-0.681986649141061	0.0049440153506893	0.582788711778215	0.048360219957472
M8Y62_07960	glpB	glycerol-3-phosphate dehydrogenase subunit GlpB	Metabolism	-2.2881341488063	0.0006515700734748	1.18452806575398	0.0367971255733803	-1.1038938577009	4.4604254447285e-14
M8Y62_22965	M8Y62_22965	tyrosine-type DNA invertase	Mobile genetic elements/genome plasticity	2.12546496015322	1.830392787061789e-11	-1.01797423290189	8.65790177972208e-05	1.10631195485929	3.56340180967753e-06
M8Y62_24390	psiE	phosphate-starvation-inducible protein PsiE	Nitrogen/nutrient response	2.75812652422628	7.73829249365328e-17	-1.25701348427982	3.59443689758443e-08	1.49777401905439	8.24950855885338e-11
M8Y62_25575	glnL	nitrogen regulation protein NR(II)	Nitrogen/nutrient response	-2.21352960741049	4.033099768826521e-15	1.29270162506345	1.18562812948552e-13	-0.921596367467187	5.64171477435201e-06
M8Y62_25580	glnG	nitrogen regulation protein NR(I)	Nitrogen/nutrient response	-1.42170568178782	1.3980515982222598e-11	0.535418309504388	0.0004393426294655	-0.889332952369367	1.53087482642903e-07
M8Y62_10000	M8Y62_10000	tellurite resistance TerB family protein	Oxidative/redox stress	-1.56061849151387	2.54400314368224e-08	0.785014109924273	0.0009840882709179	-0.77920173918207	4.92243407380062e-08
M8Y62_01980	bfd	bacterioferritin-associated ferredoxin	Oxidative/redox stress	1.80637327517272	1.66016324557523e-06	-1.1395194019777	6.50095780782743e-06	0.663616977491824	0.0355537142175817
M8Y62_19570	M8Y62_19570	co-chaperone YbbN	Protein folding/quality stress	-1.81648121511652	1.35246408123294e-18	0.800143663860702	2.93312900158883e-06	-1.01905076329897	4.98441362648816e-11
M8Y62_22845	M8Y62_22845	AAA domain-containing protein	Protein folding/quality stress	1.5170084101202	7.591253251038689e-11	-0.537707727206211	0.0071093180644203	0.976571457810913	2.9443548192857e-13
M8Y62_15040	M8Y62_15040	cold-shock protein	RNA/stress response	1.62353865839919	1.8564547138948906e-15	-0.65179422365361	0.0008436316180894	0.969069894952999	4.51840682395255e-18
M8Y62_03010	mzrA	EnvZ/OmpR regulon moderator MzrA	Regulation/signal transduction	-1.51557349925126	2.67970228499526e-17	0.571938275713321	0.0003002138709795	-0.947023500806974	2.13686924184135e-12
M8Y62_14120	M8Y62_14120	dimethyl sulfoxide reductase anchor subunit	Respiration/electron transport	1.45073390838199	2.08927472308366e-11	-0.710778477398163	8.39178909281884e-06	0.736004268624538	2.20956498820307e-06
M8Y62_00160	tisB	type I toxin-antitoxin system toxin TisB	Toxin-antitoxin/persistence	1.64989062801346	2.81053056927644e-12	-0.924125655383982	2.89150275990954e-10	0.722139135910857	4.84988848097597e-05
M8Y62_11835	M8Y62_11835	helix-turn-helix domain-containing protein	Transcriptional regulation	-1.63033081882567	3.73469526983503e-12	1.00233960232217	6.38363601885886e-06	-0.6317421428569	2.51721894363713e-06
M8Y62_18640	M8Y62_18640	helix-turn-helix domain-containing protein	Transcriptional regulation	1.76414335361173	5.5394371664077e-07	-0.992171255169454	4.26088289332314e-05	0.769529917042184	0.0008979695360532
M8Y62_16245	yceD	23S rRNA accumulation protein YceD	Translation/ribosome	1.49424489572719	6.343602145900838e-19	-0.621441317633474	1.60993617157014e-07	0.868955059116434	1.57726461427086e-10
M8Y62_10980	rplT	50S ribosomal protein L20	Translation/ribosome	2.11817182916816	3.7984469331016894e-11	-1.40687689483569	3.4129961825171e-08	0.705719164990602	1.09033031639324e-05
M8Y62_16240	rpmF	50S ribosomal protein L32	Translation/ribosome	1.45322077301014	8.70988185321116e-10	-0.776681085814482	4.62955736814712e-06	0.671692989575373	2.37500879762856e-05
M8Y62_10975	rpmI	50S ribosomal protein L35	Translation/ribosome	2.1320083496733	1.00826116494081e-08	-1.29437142437919	1.12422671330693e-05	0.831457509816195	1.19729513962973e-06
M8Y62_02740	rbfA	30S ribosome-binding factor RbfA	Translation/ribosome	1.26835367519965	6.78969118753352e-08	-0.739178282915247	7.41449789405714e-06	0.524645515118446	0.0009429702377988
M8Y62_02465	rpsI	30S ribosomal protein S9	Translation/ribosome	1.46703899590998	3.34493152606487e-06	-0.571118320975335	0.029873831248395	0.89011480290481	1.9574407255822e-09
M8Y62_05905	rplS	50S ribosomal protein L19	Translation/ribosome	1.31999135175344	4.49689123077665e-06	-0.527960022902209	0.0052446538956183	0.786752871833317	1.02894188376636e-05
M8Y62_25550	dtd	D-aminoacyl-tRNA deacylase	Translation/ribosome	-1.10688935900817	1.72244168392264e-05	0.555959476666569	0.0030661918337138	-0.553681863751088	0.012582996267635
M8Y62_10995	pheT	phenylalanine--tRNA ligase subunit beta	Translation/ribosome	1.21900950931201	2.49251145143105e-05	-0.632573783758443	0.0115096388459744	0.581441580359488	7.74559541188916e-06
M8Y62_23070	M8Y62_23070	SulP family inorganic anion transporter	Transport/secretion	-3.49036389119221	2.1278906359897e-15	1.91987330940285	4.035737801811329e-10	-1.5735009040073	6.08130686672646e-06
M8Y62_04685	M8Y62_04685	energy-coupling factor ABC transporter ATP-binding protein	Transport/secretion	2.35330934478557	3.1310229878244504e-14	-1.20606455900049	1.46898359350982e-07	1.14105817194429	1.06328448605682e-10
M8Y62_03400	zupT	zinc transporter ZupT	Transport/secretion	-1.39833223013509	5.1941782361542405e-14	0.741080379527451	2.46797410649402e-06	-0.660876830885239	1.60393027988417e-06
M8Y62_04670	cbiM	cobalt ECF transporter S component CbiM	Transport/secretion	2.45597775489107	1.02683695960403e-13	-1.80452307050699	7.93999024049785e-15	0.645001021960942	0.0008163195901446
M8Y62_04675	M8Y62_04675	energy-coupling factor ABC transporter substrate-binding protein	Transport/secretion	2.39879716368407	1.30506962510648e-12	-0.720442406788149	0.005305100002222	1.67215510340299	1.50504489502386e-18
M8Y62_18955	M8Y62_18955	cation-transporting P-type ATPase	Transport/secretion	-2.84716186584365	5.9651762874988e-11	1.83204384390806	1.0721717413532e-06	-1.01983876593961	1.3439198605413e-10
M8Y62_25680	rbsB	ribose ABC transporter substrate-binding protein RbsB	Transport/secretion	1.24927867000021	2.19745105518612e-09	-0.593953931944179	9.90832127504131e-05	0.652738198915349	6.31078814490512e-06
M8Y62_17610	M8Y62_17610	ATP-binding cassette domain-containing protein	Transport/secretion	-2.14134677550721	1.77358232606453e-08	1.27994640984937	7.29883997487903e-05	-0.862275148557967	1.96723758068066e-07
M8Y62_21100	btuF	vitamin B12 ABC transporter substrate-binding protein BtuF	Transport/secretion	-1.16946599578656	8.15438155775985e-08	0.632818586492062	4.66124734881086e-05	-0.539373635698475	0.0067577640638474
M8Y62_19555	M8Y62_19555	ABC transporter ATP-binding protein	Transport/secretion	-1.9946523110772	4.59403499930605e-07	1.28964509137806	0.000133308844302	-0.710671494576919	1.41980549416272e-05
M8Y62_17605	hlyD	secretion protein HlyD	Transport/secretion	-2.89034437788124	7.3351062525956e-07	0.962009380799908	0.0485086198469197	-1.92682072040314	3.3055754377932004e-20
M8Y62_04600	pduF	propanediol diffusion facilitator PduF	Transport/secretion	1.55509151730263	2.15730756012168e-05	-0.748389357022903	0.013385426187666	0.808079790943709	0.0006251009707089
M8Y62_13340	M8Y62_13340	substrate-binding domain-containing protein	Transport/secretion	1.95171509603507	6.02978936658562e-05	-0.931850932235032	0.0141205813763612	1.01812454027872	0.0001144873796692
M8Y62_19550	M8Y62_19550	ABC transporter permease	Transport/secretion	-1.28278344204791	0.0001204899070616	0.734560680304212	0.0108005174927202	-0.553548688819118	7.23282253388287e-05
M8Y62_07570	M8Y62_07570	YfcZ/YiiS family protein	Uncharacterized	1.66822958893407	2.2799871228858e-43	-0.572324085472026	1.91696618393076e-06	1.09318393475669	1.10109892636039e-22
M8Y62_22850	M8Y62_22850	hypothetical protein	Uncharacterized	2.12364507199801	8.474607158649031e-21	-1.23545260368273	1.57357780329825e-18	0.883490817031075	3.60107268489262e-08
M8Y62_14015	M8Y62_14015	hypothetical protein	Uncharacterized	2.26850119720184	1.4156403597430102e-19	-0.666177901580424	0.002834406977476	1.59883209838582	3.19764222625324e-25
M8Y62_22390	M8Y62_22390	YfaZ family protein	Uncharacterized	-2.72433449697147	4.290384159205941e-15	2.10447066870909	2.1117862990335402e-17	-0.622154053858631	0.0023797006439342
M8Y62_12255	M8Y62_12255	YncJ family protein	Uncharacterized	-2.69989102907871	3.71644839600001e-14	1.64604211992946	8.948701792543111e-09	-1.05645680883129	7.39102659678108e-07
M8Y62_18405	ybeD	DUF493 family protein YbeD	Uncharacterized	1.82487239682587	2.59916870814312e-12	-1.19860104579939	5.71115843774146e-07	0.623390929071135	3.42589708228594e-07
M8Y62_20285	M8Y62_20285	DUF2076 domain-containing protein	Uncharacterized	-2.09099535638155	2.45680951305146e-09	1.5394625409608	7.40771795440066e-08	-0.556142826077027	0.0009208206344721
M8Y62_23505	M8Y62_23505	hypothetical protein	Uncharacterized	-1.15947718228814	1.09858218215735e-08	0.538973815333667	0.0008232510067326	-0.622945729980669	2.96808880438096e-05
M8Y62_09775	M8Y62_09775	YecH family protein	Uncharacterized	1.81121749315615	2.12651267617393e-08	-0.999114319012398	8.0795460901914e-05	0.805031254391318	0.0014477339234294
M8Y62_04705	tRNA-Met	tRNA-Met	Translation/ribosome	2.33821400336423	6.71250813499638e-07	-1.68169574508568	2.42132590123495e-07	0.64861995669099	0.0257624770446027
M8Y62_19375	M8Y62_19375	hypothetical protein	Uncharacterized	2.15869037638857	9.10637022310739e-06	-1.35495473715425	9.67843479594693e-06	0.800443259352834	0.0260933053053918
