Geneid	gene_name	product	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj
M8Y62_27040	M8Y62_27040	DUF2188 domain-containing protein	2.31243039567369	8.27747962241642e-121	-3.68513808621262	8.9200341232497e-300	-1.37515401724596	9.90833598039374e-39
M8Y62_09470	mceA	microcin E492	2.50936362155732	1.54119348456549e-81	-3.46840473083287	3.18219244009069e-149	-0.961992782318487	7.81762226426697e-20
M8Y62_23835	M8Y62_23835	co-chaperone GroES	-2.79335253830192	3.88175981501527e-52	3.86556273229931	3.10681339741637e-110	1.06745097200176	2.92479784519952e-14
M8Y62_17550	ybiJ	DUF1471 family protein YbiJ	-2.71252633725285	8.41086398687363e-46	3.65740419264648	1.78930496515382e-116	0.941728748126893	2.29651000405832e-12
M8Y62_07570	M8Y62_07570	YfcZ/YiiS family protein	1.66822958893407	2.2799871228858e-43	-0.572324085472026	1.91696618393076e-06	1.09318393475669	1.10109892636039e-22
M8Y62_11000	ihfA	integration host factor subunit alpha	1.74612696927331	5.56441747320701e-42	-2.03693184749579	2.35131521549087e-55	-0.293164398160717	0.00687483848817023
M8Y62_24255	ssb1	single-stranded DNA-binding protein SSB1	1.13655605509865	1.60010601892365e-41	-0.246181690861646	0.0207681940499708	0.888193067741314	3.83497814657472e-19
M8Y62_07530	ltrA	group II intron reverse transcriptase/maturase	1.43418779544059	5.44290558140239e-40	-0.99134309287726	6.09176493592448e-20	0.439534692340363	4.73458531561344e-05
M8Y62_23830	groL	chaperonin GroEL	-2.19768397884707	5.68516134701486e-36	2.92120465992605	1.85281836190116e-78	0.720586614240567	3.59114797342257e-09
M8Y62_11225	M8Y62_11225	major outer membrane lipoprotein	2.04074946016271	8.57638693782483e-35	-3.07582551386091	1.87421357699926e-107	-1.03876435338372	6.77884715796357e-19
M8Y62_10760	M8Y62_10760	nitrate reductase subunit alpha	-2.88838890603798	5.73921176955215e-33	5.09211261151872	6.81963603226588e-126	2.19817378097721	5.0776605610745e-44
M8Y62_25300	rpmE	50S ribosomal protein L31	1.74981932598479	1.36142271936273e-32	-1.25723673971806	1.631755743129e-19	0.488780666446708	1.64905428335922e-05
M8Y62_19645	htpG	molecular chaperone HtpG	-2.89663086165334	4.20961475210982e-30	3.02680206811229	1.15678190084059e-40	0.126144160973371	0.488631427101091
M8Y62_03255	ltrA	group II intron reverse transcriptase/maturase	1.417442484073	1.44427789177019e-28	-0.975168593037377	1.78859851101498e-18	0.438844182728834	0.000196577821204499
M8Y62_01925	slyD	peptidylprolyl isomerase	1.37255359270526	2.70237081207811e-28	-1.74897345523902	8.06225235084429e-47	-0.380208565179177	0.000299177742696378
M8Y62_27460	M8Y62_27460	EexN family lipoprotein	2.09489875062647	5.64798781073536e-27	-2.94301455940971	1.48328919932867e-69	-0.847837094478755	8.93925366307479e-08
M8Y62_07260	M8Y62_07260	hypothetical protein	1.76876213754328	1.45063479031801e-26	-1.96572098051578	2.46860759405309e-40	-0.200523931914589	0.101640051599372
M8Y62_16810	rmf	ribosome modulation factor	2.07874768314322	1.26785848005656e-25	-2.50544039512705	7.38400479780333e-81	-0.429140113438405	0.00605930793242599
