Geneid	gene_name	product	curated_theme	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj
M8Y62_23070	M8Y62_23070	SulP family inorganic anion transporter	Transport/secretion	-3.49036389119221	2.1278906359897e-15	1.91987330940285	4.035737801811329e-10	-1.5735009040073	6.08130686672646e-06
M8Y62_23065	M8Y62_23065	carbonic anhydrase	Metabolism	-2.89145851263104	4.75516270229629e-13	0.699499617195425	0.0170715726832305	-2.19703072183161	2.61202578948457e-12
M8Y62_04695	cobU	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	Metabolism	2.77825540653362	1.16361459833901e-09	-1.49890406611851	6.7507679986439e-06	1.27130097092096	1.78439038564559e-08
M8Y62_04690	M8Y62_04690	cobyric acid synthase	Metabolism	2.69472461956931	1.90012741572035e-12	-1.8159571973438	8.70168145958644e-11	0.871782824415371	1.22374530280324e-05
M8Y62_04700	cobT	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	Metabolism	2.58794929293818	2.5161220157006e-07	-1.22827171686371	0.0013456891436259	1.35118611099547	6.99968863135305e-10
M8Y62_04670	cbiM	cobalt ECF transporter S component CbiM	Transport/secretion	2.45597775489107	1.02683695960403e-13	-1.80452307050699	7.93999024049785e-15	0.645001021960942	0.0008163195901446
M8Y62_04675	M8Y62_04675	energy-coupling factor ABC transporter substrate-binding protein	Transport/secretion	2.39879716368407	1.30506962510648e-12	-0.720442406788149	0.005305100002222	1.67215510340299	1.50504489502386e-18
M8Y62_04685	M8Y62_04685	energy-coupling factor ABC transporter ATP-binding protein	Transport/secretion	2.35330934478557	3.1310229878244504e-14	-1.20606455900049	1.46898359350982e-07	1.14105817194429	1.06328448605682e-10
M8Y62_04660	M8Y62_04660	sirohydrochlorin cobaltochelatase	Cobalamin/cofactor metabolism	2.03301266392362	7.093078003719659e-18	-1.17934691079973	2.35619847083356e-10	0.848412829417355	5.60522565126834e-09
M8Y62_01980	bfd	bacterioferritin-associated ferredoxin	Oxidative/redox stress	1.80637327517272	1.66016324557523e-06	-1.1395194019777	6.50095780782743e-06	0.663616977491824	0.0355537142175817
M8Y62_04655	M8Y62_04655	cobalt-precorrin-6A reductase	Cobalamin/cofactor metabolism	1.63545450357068	1.02914882476173e-14	-0.507689170837193	0.0042826507934365	1.12312247703253	9.24851067599265e-17
