Geneid	gene_name	product	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj	theme	curated_theme
M8Y62_07570	M8Y62_07570	YfcZ/YiiS family protein	1.66822958893407	2.2799871228858e-43	-0.572324085472026	1.91696618393076e-06	1.09318393475669	1.10109892636039e-22	Other/unclear	Uncharacterized
M8Y62_24255	ssb1	single-stranded DNA-binding protein SSB1	1.13655605509865	1.60010601892365e-41	-0.246181690861646	0.0207681940499708	0.888193067741314	3.83497814657472e-19	DNA repair/stress	DNA repair/stress
M8Y62_07530	ltrA	group II intron reverse transcriptase/maturase	1.43418779544059	5.4429055814023886e-40	-0.99134309287726	6.09176493592448e-20	0.439534692340363	4.73458531561344e-05	Other/unclear	Mobile genetic elements/genome plasticity
M8Y62_25300	rpmE	50S ribosomal protein L31	1.74981932598479	1.36142271936273e-32	-1.25723673971806	1.631755743129e-19	0.488780666446708	1.64905428335922e-05	Translation/ribosome	Translation/ribosome
M8Y62_03255	ltrA	group II intron reverse transcriptase/maturase	1.417442484073	1.44427789177019e-28	-0.975168593037377	1.78859851101498e-18	0.438844182728834	0.0001965778212044	Other/unclear	Mobile genetic elements/genome plasticity
M8Y62_15390	M8Y62_15390	YciN family protein	1.64860649805785	1.25097409591407e-24	-0.322110038175368	0.0324155668054708	1.32376588938625	3.88863244943892e-24	Other/unclear	Uncharacterized
M8Y62_17365	bssR	biofilm formation regulator BssR	1.62702620322802	1.67690912350441e-24	-1.01666728730165	2.98338894870593e-23	0.606975893061819	8.13811541284177e-06	Biofilm/adhesion	Biofilm/adhesion
M8Y62_22850	M8Y62_22850	hypothetical protein	2.12364507199801	8.474607158649031e-21	-1.23545260368273	1.57357780329825e-18	0.883490817031075	3.60107268489262e-08	Other/unclear	Uncharacterized
M8Y62_10970	infC	translation initiation factor IF-3	1.62982313778086	1.00240974115439e-20	-1.25435548119984	2.43724200799243e-21	0.371445247426517	0.0059203909600545	Translation/ribosome	Translation/ribosome
M8Y62_09815	M8Y62_09815	non-heme ferritin-like protein	2.26156658248387	1.1833923499543e-20	-1.82658141027032	1.06096390761749e-18	0.431747245147492	0.0028592124619874	Other/unclear	Oxidative/redox stress
M8Y62_19920	hupB	DNA-binding protein HU-beta	2.13949742898915	2.1715466418255702e-20	-1.60755802405925	6.888349549813521e-15	0.527831336829689	8.48173636759793e-06	DNA repair/stress	DNA repair/stress
M8Y62_12960	M8Y62_12960	diaminobutyrate--2-oxoglutarate transaminase	-2.7232328438952	9.969156348380841e-20	2.38383810038616	2.22639454563154e-20	-0.34355108212638	0.0337787350877946	Metabolism	Metabolism
M8Y62_14015	M8Y62_14015	hypothetical protein	2.26850119720184	1.4156403597430102e-19	-0.666177901580424	0.002834406977476	1.59883209838582	3.19764222625324e-25	Other/unclear	Uncharacterized
M8Y62_16245	yceD	23S rRNA accumulation protein YceD	1.49424489572719	6.343602145900835e-19	-0.621441317633474	1.60993617157014e-07	0.868955059116434	1.57726461427086e-10	Translation/ribosome	Translation/ribosome
M8Y62_19570	M8Y62_19570	co-chaperone YbbN	-1.81648121511652	1.35246408123294e-18	0.800143663860702	2.93312900158883e-06	-1.01905076329897	4.9844136264881594e-11	Other/unclear	Protein folding/quality stress
M8Y62_04660	M8Y62_04660	sirohydrochlorin cobaltochelatase	2.03301266392362	7.093078003719659e-18	-1.17934691079973	2.35619847083356e-10	0.848412829417355	5.60522565126834e-09	Other/unclear	Cobalamin/cofactor metabolism
M8Y62_16150	ycfP	alpha/beta hydrolase YcfP	1.48757623559077	8.822112906933489e-18	-0.686650683367603	1.6466093239093e-06	0.798390149753177	3.31373128328264e-10	Other/unclear	Metabolism
M8Y62_10965	thrS	threonine--tRNA ligase	0.962226227229868	2.3140184945007e-17	-0.22389951856574	0.0486817452529541	0.734649581614195	2.3383975394937997e-12	Translation/ribosome	Translation/ribosome
M8Y62_03015	M8Y62_03015	DedA family protein	-1.43452593894723	2.4941984300710505e-17	1.10634315145581	1.46698360810625e-26	-0.330897455840146	0.0276784292069309	Other/unclear	Envelope/LPS/cell wall
M8Y62_03010	mzrA	EnvZ/OmpR regulon moderator MzrA	-1.51557349925126	2.67970228499526e-17	0.571938275713321	0.0003002138709795	-0.947023500806974	2.13686924184135e-12	Other/unclear	Regulation/signal transduction
M8Y62_24390	psiE	phosphate-starvation-inducible protein PsiE	2.75812652422628	7.73829249365328e-17	-1.25701348427982	3.59443689758443e-08	1.49777401905439	8.24950855885338e-11	Other/unclear	Nitrogen/nutrient response
M8Y62_18045	odhB	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	-1.29792837480849	1.6891860371566596e-16	0.478002631036091	0.0001001659011774	-0.823019768970282	1.36320430110377e-10	Metabolism	Metabolism
M8Y62_06170	hmpA	NO-inducible flavohemoprotein	-1.58307949001357	7.22275998223799e-16	0.453980341537038	0.0104240469975679	-1.13082448534462	8.799576517315e-16	Oxidative/nitrosative stress	Oxidative/redox stress
M8Y62_00685	radC	DNA repair protein RadC	1.12515315752066	1.3977604356857402e-15	-0.654720910122649	4.5909608207858e-07	0.46723236718855	0.0001305716947095	DNA repair/stress	DNA repair/stress
M8Y62_15040	M8Y62_15040	cold-shock protein	1.62353865839919	1.8564547138948906e-15	-0.65179422365361	0.0008436316180894	0.969069894952999	4.51840682395255e-18	Other/unclear	RNA/stress response
M8Y62_23070	M8Y62_23070	SulP family inorganic anion transporter	-3.49036389119221	2.1278906359897e-15	1.91987330940285	4.035737801811329e-10	-1.5735009040073	6.08130686672646e-06	Transport	Transport/secretion
M8Y62_25575	glnL	nitrogen regulation protein NR(II)	-2.21352960741049	4.0330997688265205e-15	1.29270162506345	1.18562812948552e-13	-0.921596367467187	5.64171477435201e-06	Other/unclear	Nitrogen/nutrient response
M8Y62_22390	M8Y62_22390	YfaZ family protein	-2.72433449697147	4.290384159205941e-15	2.10447066870909	2.1117862990335402e-17	-0.622154053858631	0.0023797006439342	Other/unclear	Uncharacterized
M8Y62_03280	rpsU	30S ribosomal protein S21	1.50588544919633	4.8462698938132706e-15	-0.406371306353755	0.0164317018833059	1.09584466581424	8.0751503020061e-17	Translation/ribosome	Translation/ribosome
