	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
M8Y62_00075	317.533980603451	-1.12661100999268	0.369366705940451	-3.05011521578317	0.00228753592683033	0.00872512806524881
M8Y62_00080	147.669703748816	-1.8680896148793	0.405125965015869	-4.61113277399075	4.00480630504589e-06	3.28097921786271e-05
M8Y62_00110	39.0211431370156	-1.48202820652139	0.484713809877092	-3.05753245796151	0.00223167471176152	0.0085488576674611
M8Y62_00115	78.455895001657	-1.45332018945455	0.399041828916925	-3.64202468046805	0.000270502131536226	0.00140181270309758
M8Y62_00125	491.958904673677	-3.45936611899926	0.423718428096709	-8.16430414541635	3.23293402220502e-16	1.40897624557902e-14
M8Y62_00130	250.717472411413	-3.20432850961678	0.502691558633187	-6.37434318238667	1.83748720489528e-10	3.35736064207156e-09
M8Y62_00140	105.671229237075	-1.12146615979263	0.319961714012854	-3.50500110068661	0.000456605395508016	0.00219906783325736
M8Y62_00160	384.28939439591	1.64989062801346	0.221515179510075	7.4482057241518	9.46182004702806e-14	2.81053056927644e-12
M8Y62_00165	28.3109358651218	1.43893011071939	0.487348003749905	2.95257208329065	0.00315138483286765	0.0114845189556938
M8Y62_00180	225.95793329089	1.34676966110942	0.383950136687132	3.5076681381855	0.000452052586770546	0.00218505782168999
M8Y62_00190	37.6145043701883	-1.6514159370667	0.440019876255826	-3.75304850116947	0.0001746970383054	0.000961557093861087
M8Y62_00375	189.262623639974	-3.06419772890263	0.348005047299906	-8.80503818170761	1.30808043907837e-18	9.39873472240501e-17
M8Y62_00380	283.20826071668	-3.4179204825941	0.448169291707171	-7.62640490064486	2.41390850897504e-14	7.77863729831532e-13
M8Y62_00385	273.343269380883	-1.16378464051135	0.198676046525535	-5.85769981265341	4.69321984459811e-09	6.58412926483593e-08
M8Y62_00395	21.0397149639099	-1.55510905898268	0.547077978558875	-2.84257294193999	0.00447509895818052	0.0154306752014564
M8Y62_00400	26.915655320425	-1.79636355707127	0.491930815249141	-3.65165893533523	0.000260551770156158	0.00135952282818478
M8Y62_00425	31.098115539932	-1.31522568817205	0.466966143418488	-2.81653328985217	0.00485450117428107	0.0164718460393442
M8Y62_00500	45.6148931734829	1.53730628563388	0.402311600001146	3.82118309695645	0.000132812999104002	0.000756067148004261
M8Y62_00520	5144.20442582768	-1.18415670067685	0.400873888054199	-2.9539382233765	0.00313746804552072	0.0114494973219174
M8Y62_00525	3185.07604473997	-1.00081364780595	0.353158922009525	-2.83389031235902	0.0045985113015884	0.0157642066992556
M8Y62_00650	69.5082634993851	1.16755687308556	0.281780048572374	4.14350440707542	3.42038494760572e-05	0.000224243979857209
M8Y62_00685	1085.88423335142	1.12515315752066	0.132891049977047	8.46673389754238	2.52369760815932e-17	1.39776043568574e-15
