	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
M8Y62_00160	384.28939439591	1.64989062801346	0.221515179510075	7.4482057241518	9.46182004702806e-14	2.81053056927644e-12
M8Y62_00165	28.3109358651218	1.43893011071939	0.487348003749905	2.95257208329065	0.00315138483286765	0.0114845189556938
M8Y62_00180	225.95793329089	1.34676966110942	0.383950136687132	3.5076681381855	0.000452052586770546	0.00218505782168999
M8Y62_00500	45.6148931734829	1.53730628563388	0.402311600001146	3.82118309695645	0.000132812999104002	0.000756067148004261
M8Y62_00650	69.5082634993851	1.16755687308556	0.281780048572374	4.14350440707542	3.42038494760572e-05	0.000224243979857209
M8Y62_00685	1085.88423335142	1.12515315752066	0.132891049977047	8.46673389754238	2.52369760815932e-17	1.39776043568574e-15
M8Y62_00695	819.692661695184	1.52324247790075	0.211752533137331	7.19350297884212	6.31497744418372e-13	1.65402635816378e-11
M8Y62_00850	1437.64015993796	1.03283940646127	0.120172810485991	8.59461805282212	8.35422035216899e-18	5.16504530377704e-16
M8Y62_00970	310.808334228884	1.0302445584863	0.30028119772773	3.43093262675886	0.000601509973821631	0.00280055037724134
M8Y62_00985	95.7191075435038	2.18201442022086	0.243673754330861	8.95465507236413	3.40799434409563e-19	2.74550089811462e-17
M8Y62_01120	194.535099558246	1.06887806921755	0.316472689813723	3.37747332904678	0.00073155047070364	0.00332165145408305
M8Y62_01205	2162.97991331398	1.72068335593024	0.593499167141698	2.89921781056086	0.00374094918524977	0.0133136725689244
M8Y62_01295	14950.212422151	1.05016598622878	0.252474123565716	4.15949948215359	3.18945744040393e-05	0.000211979315132846
M8Y62_01660	1847.00801578444	1.48831800813747	0.257193036395689	5.78677412497168	7.17509545667415e-09	9.75702878341086e-08
M8Y62_01665	1503.36796984131	1.47932049979799	0.340042747726864	4.35039567727008	1.35892095691599e-05	9.88424449784178e-05
M8Y62_01690	1120.19737909861	1.35542287066971	0.379729001055863	3.56944786124016	0.000357734403857948	0.00178096800122913
M8Y62_01925	8407.38576883355	1.37255359270526	0.118864310308458	11.5472305281831	7.62376569139959e-31	2.70237081207811e-28
M8Y62_01935	8810.91290010187	1.65757260619966	0.359359895364247	4.61256981533666	3.97720891660873e-06	3.26339811876676e-05
M8Y62_01980	83.0983508010472	1.80637327517272	0.344043123223268	5.25042691814092	1.51747101250623e-07	1.66016324557523e-06
M8Y62_02040	2333.79449563186	1.361413012489	0.481942946299747	2.82484269754673	0.00473038327803288	0.0161227230059621
M8Y62_02045	814.803067117744	1.86963957704141	0.56211533363019	3.32607823552351	0.000880772031308101	0.003896060640986
M8Y62_02055	4403.15384786938	1.02764975669566	0.193718223827683	5.30486877481275	1.12754078880651e-07	1.25948201136223e-06
M8Y62_02090	939.268372871898	1.32695992279431	0.372854792414521	3.55891877961719	0.000372384658578898	0.00184183184154791
M8Y62_02095	21331.5235662789	1.19535226295873	0.396952638743203	3.01132212332269	0.0026011275129458	0.00974643762250375
M8Y62_02100	27150.9422209052	1.43872516183922	0.330984921221815	4.34679971682164	1.38138248346777e-05	0.000100202055451543
M8Y62_02105	2355.78841966046	1.28229988379562	0.265142623282396	4.836264603258	1.32301781245197e-06	1.18780164659847e-05
M8Y62_02150	2491.04015225073	1.50872867225185	0.172381886835365	8.75224595779471	2.09147948547492e-18	1.4256918492654e-16
M8Y62_02210	15010.5447562339	1.6606888566873	0.596864343266356	2.78235561467642	0.00539658718591665	0.0180225634545861
M8Y62_02225	12.196305256175	1.86949638726286	0.635811955932418	2.94032908601293	0.00327863824879087	0.0118750133302596
M8Y62_02295	784.7665371614	1.53121125369662	0.216497050414444	7.07266565879486	1.51985374659599e-12	3.77619736946302e-11
