Geneid	gene_name	product	curated_theme	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj	abs_interaction_log2FC
M8Y62_23070	M8Y62_23070	SulP family inorganic anion transporter	Transport/secretion	-3.49036389119221	2.1278906359897e-15	1.91987330940285	4.035737801811329e-10	-1.5735009040073	6.08130686672646e-06	3.49036389119221
M8Y62_23065	M8Y62_23065	carbonic anhydrase	Metabolism	-2.89145851263104	4.75516270229629e-13	0.699499617195425	0.0170715726832305	-2.19703072183161	2.61202578948457e-12	2.89145851263104
M8Y62_17605	hlyD	secretion protein HlyD	Transport/secretion	-2.89034437788124	7.3351062525956e-07	0.962009380799908	0.0485086198469197	-1.92682072040314	3.3055754377932004e-20	2.89034437788124
M8Y62_18955	M8Y62_18955	cation-transporting P-type ATPase	Transport/secretion	-2.84716186584365	5.9651762874988e-11	1.83204384390806	1.0721717413532e-06	-1.01983876593961	1.3439198605413e-10	2.84716186584365
M8Y62_04695	cobU	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	Metabolism	2.77825540653362	1.16361459833901e-09	-1.49890406611851	6.7507679986439e-06	1.27130097092096	1.78439038564559e-08	2.77825540653362
M8Y62_24390	psiE	phosphate-starvation-inducible protein PsiE	Nitrogen/nutrient response	2.75812652422628	7.73829249365328e-17	-1.25701348427982	3.59443689758443e-08	1.49777401905439	8.24950855885338e-11	2.75812652422628
M8Y62_22390	M8Y62_22390	YfaZ family protein	Uncharacterized	-2.72433449697147	4.290384159205941e-15	2.10447066870909	2.1117862990335402e-17	-0.622154053858631	0.0023797006439342	2.72433449697147
M8Y62_12255	M8Y62_12255	YncJ family protein	Uncharacterized	-2.69989102907871	3.71644839600001e-14	1.64604211992946	8.948701792543111e-09	-1.05645680883129	7.39102659678108e-07	2.69989102907871
M8Y62_04690	M8Y62_04690	cobyric acid synthase	Metabolism	2.69472461956931	1.90012741572035e-12	-1.8159571973438	8.70168145958644e-11	0.871782824415371	1.22374530280324e-05	2.69472461956931
M8Y62_04700	cobT	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	Metabolism	2.58794929293818	2.5161220157006e-07	-1.22827171686371	0.0013456891436259	1.35118611099547	6.99968863135305e-10	2.58794929293818
M8Y62_04670	cbiM	cobalt ECF transporter S component CbiM	Transport/secretion	2.45597775489107	1.02683695960403e-13	-1.80452307050699	7.93999024049785e-15	0.645001021960942	0.0008163195901446	2.45597775489107
M8Y62_04675	M8Y62_04675	energy-coupling factor ABC transporter substrate-binding protein	Transport/secretion	2.39879716368407	1.30506962510648e-12	-0.720442406788149	0.005305100002222	1.67215510340299	1.50504489502386e-18	2.39879716368407
M8Y62_04685	M8Y62_04685	energy-coupling factor ABC transporter ATP-binding protein	Transport/secretion	2.35330934478557	3.1310229878244504e-14	-1.20606455900049	1.46898359350982e-07	1.14105817194429	1.06328448605682e-10	2.35330934478557
M8Y62_04705	M8Y62_04705		Uncharacterized	2.33821400336423	6.71250813499638e-07	-1.68169574508568	2.42132590123495e-07	0.64861995669099	0.0257624770446027	2.33821400336423
M8Y62_07960	glpB	glycerol-3-phosphate dehydrogenase subunit GlpB	Metabolism	-2.2881341488063	0.0006515700734748	1.18452806575398	0.0367971255733803	-1.1038938577009	4.4604254447285e-14	2.2881341488063
M8Y62_14015	M8Y62_14015	hypothetical protein	Uncharacterized	2.26850119720184	1.4156403597430102e-19	-0.666177901580424	0.002834406977476	1.59883209838582	3.19764222625324e-25	2.26850119720184
M8Y62_25575	glnL	nitrogen regulation protein NR(II)	Nitrogen/nutrient response	-2.21352960741049	4.033099768826521e-15	1.29270162506345	1.18562812948552e-13	-0.921596367467187	5.64171477435201e-06	2.21352960741049
M8Y62_19375	M8Y62_19375	hypothetical protein	Uncharacterized	2.15869037638857	9.10637022310739e-06	-1.35495473715425	9.67843479594693e-06	0.800443259352834	0.0260933053053918	2.15869037638857
M8Y62_17610	M8Y62_17610	ATP-binding cassette domain-containing protein	Transport/secretion	-2.14134677550721	1.77358232606453e-08	1.27994640984937	7.29883997487903e-05	-0.862275148557967	1.96723758068066e-07	2.14134677550721
M8Y62_19920	hupB	DNA-binding protein HU-beta	DNA repair/stress	2.13949742898915	2.1715466418255702e-20	-1.60755802405925	6.888349549813521e-15	0.527831336829689	8.48173636759793e-06	2.13949742898915
