# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "4" "-p" "-B" "-C" "--countReadPairs" "-t" "gene" "-g" "locus_tag" "-a" "reference/annotation/NK01067.gff" "-o" "results/counts/gene_counts.txt" "results/alignment/SRR35308233.sorted.bam" "results/alignment/SRR35308234.sorted.bam" "results/alignment/SRR35308235.sorted.bam" "results/alignment/SRR35308236.sorted.bam" "results/alignment/SRR35308237.sorted.bam" "results/alignment/SRR35308238.sorted.bam" "results/alignment/SRR35308239.sorted.bam" "results/alignment/SRR35308240.sorted.bam" "results/alignment/SRR35308241.sorted.bam" "results/alignment/SRR35308242.sorted.bam" "results/alignment/SRR35308243.sorted.bam" "results/alignment/SRR35308244.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/SRR35308233.sorted.bam	results/alignment/SRR35308234.sorted.bam	results/alignment/SRR35308235.sorted.bam	results/alignment/SRR35308236.sorted.bam	results/alignment/SRR35308237.sorted.bam	results/alignment/SRR35308238.sorted.bam	results/alignment/SRR35308239.sorted.bam	results/alignment/SRR35308240.sorted.bam	results/alignment/SRR35308241.sorted.bam	results/alignment/SRR35308242.sorted.bam	results/alignment/SRR35308243.sorted.bam	results/alignment/SRR35308244.sorted.bam
M8Y62_00005	CP097651.1	1	1404	+	1404	2932	3271	3119	1007	1129	1190	6126	4715	3969	714	707	350
M8Y62_00010	CP097651.1	1409	2509	+	1101	1526	1652	1427	622	709	850	2250	1795	1581	643	651	352
M8Y62_00015	CP097651.1	2717	3790	+	1074	514	585	553	109	105	144	745	674	520	58	66	49
M8Y62_00020	CP097651.1	3819	6233	+	2415	4890	5615	5441	4558	4296	4447	7209	5425	4782	2217	2244	1393
M8Y62_00025	CP097651.1	6435	7247	+	813	769	813	771	997	994	1029	1158	771	716	705	744	403
M8Y62_00030	CP097651.1	7397	8479	+	1083	42	50	46	20	26	18	112	112	98	27	23	7
M8Y62_00035	CP097651.1	8476	9609	+	1134	59	51	52	26	15	38	140	100	103	33	38	17
M8Y62_00040	CP097651.1	9839	10528	+	690	32	34	42	33	38	25	77	61	39	34	30	48
M8Y62_00045	CP097651.1	10525	11403	+	879	44	42	39	22	20	23	103	50	68	9	23	28
M8Y62_00050	CP097651.1	11387	12004	+	618	24	37	43	15	9	23	57	49	38	10	3	11
M8Y62_00055	CP097651.1	12001	13149	+	1149	94	88	84	85	69	65	145	131	100	42	47	56
M8Y62_00060	CP097651.1	13327	14664	+	1338	75	71	54	19	29	22	136	77	68	22	24	19
M8Y62_00065	CP097651.1	14716	15942	+	1227	248	268	264	346	350	358	810	582	496	279	343	246
M8Y62_00070	CP097651.1	15944	16276	-	333	409	385	411	557	508	544	674	479	417	547	583	514
