# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "4" "-p" "-t" "gene" "-g" "ID" "-a" "reference/annotation/NK01067.gff" "-o" "results/counts_SRR35308233.txt" "results/alignment/SRR35308233.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/SRR35308233.sorted.bam
gene-M8Y62_00005	CP097651.1	1	1404	+	1404	4846
gene-M8Y62_00010	CP097651.1	1409	2509	+	1101	3055
gene-M8Y62_00015	CP097651.1	2717	3790	+	1074	1068
gene-M8Y62_00020	CP097651.1	3819	6233	+	2415	9782
gene-M8Y62_00025	CP097651.1	6435	7247	+	813	1557
gene-M8Y62_00030	CP097651.1	7397	8479	+	1083	92
gene-M8Y62_00035	CP097651.1	8476	9609	+	1134	114
gene-M8Y62_00040	CP097651.1	9839	10528	+	690	59
gene-M8Y62_00045	CP097651.1	10525	11403	+	879	77
gene-M8Y62_00050	CP097651.1	11387	12004	+	618	46
gene-M8Y62_00055	CP097651.1	12001	13149	+	1149	178
gene-M8Y62_00060	CP097651.1	13327	14664	+	1338	151
gene-M8Y62_00065	CP097651.1	14716	15942	+	1227	480
gene-M8Y62_00070	CP097651.1	15944	16276	-	333	741
gene-M8Y62_00075	CP097651.1	16591	17004	+	414	1008
gene-M8Y62_00080	CP097651.1	17121	17549	+	429	301
gene-M8Y62_00085	CP097651.1	17686	18510	+	825	371
gene-M8Y62_00090	CP097651.1	18612	20273	+	1662	4922
gene-M8Y62_00095	CP097651.1	20265	20987	-	723	237
gene-M8Y62_00100	CP097651.1	21286	22908	+	1623	327
gene-M8Y62_00105	CP097651.1	22905	24227	+	1323	282
gene-M8Y62_00110	CP097651.1	24329	24676	+	348	55
gene-M8Y62_00115	CP097651.1	24666	25028	+	363	52
gene-M8Y62_00120	CP097651.1	25103	25525	+	423	435
gene-M8Y62_00125	CP097651.1	25529	26857	-	1329	314
gene-M8Y62_00130	CP097651.1	26874	28211	-	1338	127
gene-M8Y62_00135	CP097651.1	28303	28437	+	135	5
gene-M8Y62_00140	CP097651.1	28437	29360	+	924	236
gene-M8Y62_00145	CP097651.1	29520	30704	-	1185	722
gene-M8Y62_00150	CP097651.1	30880	31713	-	834	186
gene-M8Y62_00155	CP097651.1	31782	32228	-	447	405
gene-M8Y62_00160	CP097651.1	32319	32438	-	120	926
gene-M8Y62_00165	CP097651.1	32891	33058	-	168	56
gene-M8Y62_00170	CP097651.1	33071	33166	+	96	501
gene-M8Y62_00175	CP097651.1	33271	34959	+	1689	1224
gene-M8Y62_00180	CP097651.1	34963	35250	+	288	304
gene-M8Y62_00185	CP097651.1	35401	35994	+	594	154
gene-M8Y62_00190	CP097651.1	36012	37493	+	1482	96
gene-M8Y62_00195	CP097651.1	37505	38833	+	1329	57
gene-M8Y62_00200	CP097651.1	38979	40370	+	1392	79
gene-M8Y62_00205	CP097651.1	40507	40959	+	453	356
gene-M8Y62_00210	CP097651.1	41089	41412	-	324	114
gene-M8Y62_00215	CP097651.1	41396	41755	-	360	85
gene-M8Y62_00220	CP097651.1	41967	43160	+	1194	221
gene-M8Y62_00225	CP097651.1	43157	43966	-	810	79
gene-M8Y62_00230	CP097651.1	43976	45079	-	1104	33
gene-M8Y62_00235	CP097651.1	45221	45940	+	720	91
gene-M8Y62_00240	CP097651.1	46119	47132	+	1014	20
gene-M8Y62_00245	CP097651.1	47138	48250	+	1113	27
gene-M8Y62_00250	CP097651.1	48250	49110	+	861	19
gene-M8Y62_00255	CP097651.1	49113	49910	+	798	16
gene-M8Y62_00260	CP097651.1	50230	51609	-	1380	152
gene-M8Y62_00265	CP097651.1	51754	52056	-	303	1
gene-M8Y62_00270	CP097651.1	52154	53476	-	1323	33
gene-M8Y62_00275	CP097651.1	53488	53802	-	315	12
gene-M8Y62_00280	CP097651.1	54096	55037	+	942	195
gene-M8Y62_00285	CP097651.1	55249	56619	+	1371	75
gene-M8Y62_00290	CP097651.1	56633	57895	+	1263	660
gene-M8Y62_00295	CP097651.1	57892	59118	-	1227	152
gene-M8Y62_00300	CP097651.1	59246	59986	+	741	45
gene-M8Y62_00305	CP097651.1	59983	60696	+	714	24
gene-M8Y62_00310	CP097651.1	60697	61782	+	1086	35
gene-M8Y62_00315	CP097651.1	61785	62648	+	864	126
gene-M8Y62_00320	CP097651.1	62652	62927	-	276	439
gene-M8Y62_00325	CP097651.1	63049	63987	-	939	238
gene-M8Y62_00330	CP097651.1	64103	65536	-	1434	205
gene-M8Y62_00335	CP097651.1	65561	66463	-	903	242
gene-M8Y62_00340	CP097651.1	66626	67789	-	1164	76
gene-M8Y62_00345	CP097651.1	67835	69199	-	1365	114
gene-M8Y62_00350	CP097651.1	69203	72310	-	3108	69
gene-M8Y62_00355	CP097651.1	72310	73434	-	1125	33
gene-M8Y62_00360	CP097651.1	73641	73763	+	123	0
gene-M8Y62_00365	CP097651.1	73723	73839	-	117	0
gene-M8Y62_00370	CP097651.1	73814	74230	+	417	79
gene-M8Y62_00375	CP097651.1	74609	75256	-	648	73
gene-M8Y62_00380	CP097651.1	75337	76830	+	1494	66
gene-M8Y62_00385	CP097651.1	76827	77798	-	972	213
gene-M8Y62_00390	CP097651.1	77837	78463	+	627	18
gene-M8Y62_00395	CP097651.1	78466	78936	+	471	13
gene-M8Y62_00400	CP097651.1	78957	79493	-	537	20
